#p	 replica	 essentials	 correct	 fp	 fn
0.9	4	494	0.7662835249042146	0.18773946360153257	0.04597701149425287
0.92	4	497	0.7758620689655172	0.18582375478927204	0.038314176245210725
0.9400000000000001	4	497	0.7758620689655172	0.18582375478927204	0.038314176245210725
0.96	4	493	0.7681992337164751	0.18582375478927204	0.04597701149425287
0.98	4	491	0.7681992337164751	0.1839080459770115	0.04789272030651341
1.0	4	488	0.7624521072796935	0.1839080459770115	0.05363984674329502
0.0	9	200	0.5440613026819924	0.017241379310344827	0.4386973180076628
0.02	9	243	0.5766283524904214	0.0421455938697318	0.38122605363984674
0.04	9	283	0.6149425287356322	0.06130268199233716	0.32375478927203066
0.06	9	298	0.5900383141762452	0.08812260536398467	0.3218390804597701
0.08	9	313	0.6187739463601533	0.08812260536398467	0.29310344827586204
0.1	9	330	0.6130268199233716	0.10727969348659004	0.2796934865900383
0.12	9	344	0.6168582375478927	0.11877394636015326	0.26436781609195403
0.14	9	357	0.6302681992337165	0.12452107279693486	0.24521072796934865
0.16	9	374	0.632183908045977	0.13984674329501914	0.22796934865900384
0.18	9	383	0.6379310344827587	0.14559386973180077	0.2164750957854406
0.2	9	397	0.6532567049808429	0.15134099616858238	0.19540229885057472
0.22	9	403	0.6494252873563219	0.15900383141762453	0.19157088122605365
0.24	9	412	0.6628352490421456	0.16091954022988506	0.17624521072796934
0.26	9	407	0.6532567049808429	0.16091954022988506	0.18582375478927204
0.28	9	404	0.6551724137931034	0.15708812260536398	0.18773946360153257
0.3	9	410	0.6666666666666666	0.15708812260536398	0.17624521072796934
0.32	9	416	0.6666666666666666	0.16283524904214558	0.17049808429118773
0.34	9	418	0.6513409961685823	0.1724137931034483	0.17624521072796934
0.36	9	424	0.6590038314176245	0.1743295019157088	0.16666666666666666
0.38	9	425	0.6647509578544061	0.1724137931034483	0.16283524904214558
0.4	9	434	0.6781609195402298	0.1743295019157088	0.1475095785440613
0.42	9	449	0.6992337164750958	0.1781609195402299	0.12260536398467432
0.44	9	442	0.685823754789272	0.1781609195402299	0.1360153256704981
0.46	9	452	0.6973180076628352	0.18199233716475097	0.1206896551724138
0.48	9	460	0.7088122605363985	0.1839080459770115	0.10727969348659004
0.5	9	454	0.6934865900383141	0.18582375478927204	0.1206896551724138
0.52	9	458	0.7011494252873564	0.18582375478927204	0.11302681992337164
0.54	9	459	0.7030651340996169	0.18582375478927204	0.1111111111111111
0.56	9	464	0.7126436781609196	0.18582375478927204	0.10153256704980843
0.58	9	466	0.7164750957854407	0.18582375478927204	0.09770114942528736
0.6	9	468	0.7241379310344828	0.1839080459770115	0.09195402298850575
0.62	9	473	0.7375478927203065	0.18199233716475097	0.08045977011494253
0.64	9	471	0.7298850574712644	0.1839080459770115	0.08620689655172414
0.66	9	472	0.7318007662835249	0.1839080459770115	0.0842911877394636
0.68	9	472	0.7318007662835249	0.1839080459770115	0.0842911877394636
0.7000000000000001	9	475	0.7298850574712644	0.18773946360153257	0.08237547892720307
0.72	9	475	0.7375478927203065	0.1839080459770115	0.07854406130268199
0.74	9	476	0.7394636015325671	0.1839080459770115	0.07662835249042145
0.76	9	476	0.735632183908046	0.18582375478927204	0.07854406130268199
